Symbol,Name,Sector,Sub-Sector
MMM,3M,Industrials,Industrial Conglomerates
AOS,A. O. Smith,Industrials,Building Products
ABT,Abbott,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Pharmaceuticals
ABMD,Abiomed,Health Care,Health Care Equipment
ACN,Accenture,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
ADM,ADM,Consumer Staples,Agricultural Products
ADBE,Adobe,Information Technology,Application Software
ADP,ADP,Information Technology,Data Processing & Outsourced Services
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AES,AES,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
A,Agilent Technologies,Health Care,Health Care Equipment
AIG,AIG,Financials,Property & Casualty Insurance
APD,Air Products,Materials,Industrial Gases
AKAM,Akamai,Information Technology,Internet Services & Infrastructure
ALK,Alaska Air Group,Industrials,Airlines
ALB,Albemarle,Materials,Specialty Chemicals
ARE,Alexandria,Real Estate,Office REITs
ALGN,Align,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
LNT,Alliant Energy,Utilities,Electric Utilities
ALL,Allstate,Financials,Property & Casualty Insurance
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services
MO,Altria,Consumer Staples,Tobacco
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
AMCR,Amcor,Materials,Paper Packaging
AMD,AMD,Information Technology,Semiconductors
AEE,Ameren,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express,Financials,Consumer Finance
AMT,American Tower,Real Estate,Specialized REITs
AWK,American Water,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen,Health Care,Health Care Distributors
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
APH,Amphenol,Information Technology,Electronic Components
ADI,Analog Devices,Information Technology,Semiconductors
ANSS,Ansys,Information Technology,Application Software
ANTM,Anthem,Health Care,Managed Health Care
AON,Aon,Financials,Insurance Brokers
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials,Information Technology,Semiconductor Equipment
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment
ANET,Arista,Information Technology,Communications Equipment
AIZ,Assurant,Financials,Multi-line Insurance
T,AT&T,Communication Services,Integrated Telecommunication Services
ATO,Atmos Energy,Utilities,Gas Utilities
ADSK,Autodesk,Information Technology,Application Software
AZO,AutoZone,Consumer Discretionary,Specialty Stores
AVB,AvalonBay Communities,Real Estate,Residential REITs
AVY,Avery Dennison,Materials,Paper Packaging
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLL,Ball,Materials,Metal & Glass Containers
